,,SPOT_COUNT,SPOT_COUNT,SPOT_COUNT,FRAMECOUNT,FRAMECOUNT,SPOTS_PER_FRAME,SPOTS_PER_FRAME
,,count,mean,std,mean,std,mean,std
MODEL,CHANNEL,,,,,,,
ELF5,CFP,18,185.111,86.533,22.333,3.97,8.581,4.505
ELF5,RFP,10,362.9,184.894,20.5,1.581,18.02,9.43
ELF5,YFP,21,207.571,135.591,23.286,4.28,8.587,4.4
K5,CFP,9,65.222,49.504,25.0,5.0,2.423,1.488
K5,RFP,9,116.333,71.61,27.111,6.716,3.917,2.085
K5,YFP,4,63.25,31.341,26.25,7.544,2.256,0.741
PR,CFP,83,136.47,150.809,20.759,8.386,6.469,6.002
PR,RFP,97,230.34,226.656,21.247,9.308,10.587,9.327
PR,YFP,61,150.361,145.955,20.475,8.786,8.544,10.558
